# 한국어 학습용 어휘 등급 목록 (임시 씨앗 데이터)
#
# ※ 임시(TEMP) ※
# 국립국어원 '한국어 학습용 어휘 목록'의 실제 데이터를 아직 확보하지 못해서,
# 직무 소통 맥락에서 자주 쓰이는 어휘만 손으로 추린 씨앗 목록을 넣어 두었다.
# 정식 목록을 구하면 이 파일을 통째로 교체하거나,
# 환경변수 KTEST_VOCAB_LEVELS 에 정식 목록 파일 경로를 넣어 대체한다.
# 형식: 표제어<탭>등급(beginner|intermediate|advanced)
일	beginner
사람	beginner
회사	beginner
시간	beginner
오다	beginner
가다	beginner
하다	beginner
먹다	beginner
좋다	beginner
크다	beginner
많다	beginner
말하다	beginner
보다	beginner
주다	beginner
받다	beginner
안전	beginner
기계	beginner
물건	beginner
친구	beginner
집	beginner
오늘	beginner
어제	beginner
아침	beginner
저녁	beginner
돈	beginner
밥	beginner
일하다	beginner
쓰다	beginner
알다	beginner
모르다	beginner
확인	intermediate
신청	intermediate
준비	intermediate
정리	intermediate
담당	intermediate
부탁	intermediate
연락	intermediate
보고	intermediate
처리	intermediate
이유	intermediate
방법	intermediate
문제	intermediate
결과	intermediate
상황	intermediate
경험	intermediate
규칙	intermediate
서류	intermediate
교육	intermediate
수리	intermediate
고장	intermediate
지시	intermediate
협조	intermediate
점검	intermediate
위험	intermediate
사고	intermediate
동료	intermediate
장비	intermediate
작업	intermediate
휴가	intermediate
근무	intermediate
유의	advanced
미비	advanced
절차	advanced
준수	advanced
숙지	advanced
개선	advanced
조치	advanced
대처	advanced
지연	advanced
누락	advanced
재발	advanced
방지	advanced
시정	advanced
소홀	advanced
원활	advanced
신속	advanced
효율	advanced
착수	advanced
검토	advanced
승인	advanced
반영	advanced
인지	advanced
파악	advanced
유발	advanced
초래	advanced
대응	advanced
예방	advanced
철저	advanced
이행	advanced
지침	advanced
권고	advanced
필수	advanced
사전	advanced
사후	advanced
발생	advanced
완료	advanced
요청	advanced
제출	advanced
보완	advanced
불가피	advanced
부득이	advanced
경위	advanced
차질	advanced
우선순위	advanced
현황	advanced
사유	advanced
조율	advanced
숙련	advanced
미흡	advanced
근절	advanced
